from,to,relation,weight
jaja,maad,3,99
jaja,olpe,3,99
jodo,sasa,3,99
jodo,mime,3,99
jodo,oske,3,99
jodo,takl,3,99
jodo,jaja,3,99
jodo,rebu,3,99
jodo,maad,3,99
jodo,olpe,3,99
maad,sasa,3,99
maad,mime,3,99
maad,oske,3,99
maad,takl,3,99
maad,jaja,3,99
maad,jodo,3,99
maad,rebu,3,99
maad,olpe,3,99
olpe,sasa,3,99
olpe,mime,3,99
olpe,oske,3,99
olpe,takl,3,99
olpe,jaja,3,99
olpe,jodo,3,99
olpe,maad,3,99
olpe,rebu,3,99
rebu,sasa,3,99
rebu,mime,3,99
rebu,oske,3,99
rebu,takl,3,99
rebu,jaja,3,99
rebu,jodo,3,99
rebu,maad,3,99
rebu,olpe,3,99
AiAuCiDuMo,SbFi,2,1
AiAuCiDuMo,KoFi,2,1
AiAuCiDuMo,ArFrCi,2,1
AiAuCiDuMo,PiFi,2,1
DeFö,SbFi,2,1
DeFö,KoFi,2,1
DeFö,ArFrCi,2,1
DeFö,PiFi,2,1
Fi,SbFi,2,1
Fi,KoFi,2,2
Fi,ArFrCi,2,4
Fi,PiFi,2,1
CeNaDuCiEtDeLiAn,SbFi,2,1
CeNaDuCiEtDeLiAn,KoFi,2,1
CeNaDuCiEtDeLiAn,ArFrCi,2,3
CeNaDuCiEtDeLiAn,PiFi,2,1
SbFi,sasa,3,99
SbFi,mime,3,99
SbFi,oske,3,99
SbFi,takl,3,99
SbFi,jaja,3,99
SbFi,jodo,3,99
SbFi,maad,3,99
SbFi,olpe,3,99
SbFi,rebu,3,99
sasa,SbFi,3,99
mime,SbFi,3,99
oske,SbFi,3,99
takl,SbFi,3,99
jaja,SbFi,3,99
jodo,SbFi,3,99
maad,SbFi,3,99
olpe,SbFi,3,99
rebu,SbFi,3,99
KoFi,sasa,3,99
KoFi,mime,3,99
KoFi,oske,3,99
KoFi,takl,3,99
KoFi,jaja,3,99
KoFi,jodo,3,99
KoFi,maad,3,99
KoFi,olpe,3,99
KoFi,rebu,3,99
sasa,KoFi,3,99
mime,KoFi,3,99
oske,KoFi,3,99
takl,KoFi,3,99
jaja,KoFi,3,99
jodo,KoFi,3,99
maad,KoFi,3,99
olpe,KoFi,3,99
rebu,KoFi,3,99
ArFrCi,sasa,3,99
ArFrCi,mime,3,99
ArFrCi,oske,3,99
ArFrCi,takl,3,99
ArFrCi,jaja,3,99
ArFrCi,jodo,3,99
ArFrCi,maad,3,99
ArFrCi,olpe,3,99
ArFrCi,rebu,3,99
sasa,ArFrCi,3,99
mime,ArFrCi,3,99
oske,ArFrCi,3,99
takl,ArFrCi,3,99
jaja,ArFrCi,3,99
jodo,ArFrCi,3,99
maad,ArFrCi,3,99
olpe,ArFrCi,3,99
rebu,ArFrCi,3,99
PiFi,sasa,3,99
PiFi,mime,3,99
PiFi,oske,3,99
PiFi,takl,3,99
PiFi,jaja,3,99
PiFi,jodo,3,99
PiFi,maad,3,99
PiFi,olpe,3,99
PiFi,rebu,3,99
sasa,PiFi,3,99
mime,PiFi,3,99
oske,PiFi,3,99
takl,PiFi,3,99
jaja,PiFi,3,99
jodo,PiFi,3,99
maad,PiFi,3,99
olpe,PiFi,3,99
rebu,PiFi,3,99
PaMe,All,1,99
PrFi,All,1,99
yogo,All,1,99
hoge,All,1,99
nago,All,1,99
lapo,All,1,99
meka,All,1,99
joly,All,1,99
yogo,hoge,3,99
yogo,nago,3,99
yogo,lapo,3,99
yogo,meka,3,99
yogo,joly,3,99
nago,yogo,3,99
nago,hoge,3,99
nago,lapo,3,99
nago,meka,3,99
nago,joly,3,99
hoge,yogo,3,99
hoge,nago,3,99
hoge,lapo,3,99
hoge,meka,3,99
hoge,joly,3,99
lapo,yogo,3,99
lapo,nago,3,99
lapo,hoge,3,99
lapo,meka,3,99
lapo,joly,3,99
meka,yogo,3,99
meka,nago,3,99
meka,hoge,3,99
meka,lapo,3,99
meka,joly,3,99
joly,yogo,3,99
joly,nago,3,99
joly,hoge,3,99
joly,lapo,3,99
joly,meka,3,99
PaMe,yogo,3,99
PaMe,hoge,3,99
PaMe,nago,3,99
PaMe,lapo,3,99
PaMe,meka,3,99
PaMe,joly,3,99
PrFi,yogo,3,99
PrFi,hoge,3,99
PrFi,nago,3,99
PrFi,lapo,3,99
PrFi,meka,3,99
PrFi,joly,3,99
yogo,PaMe,3,99
hoge,PaMe,3,99
nago,PaMe,3,99
lapo,PaMe,3,99
meka,PaMe,3,99
joly,PaMe,3,99
yogo,PrFi,3,99
hoge,PrFi,3,99
nago,PrFi,3,99
lapo,PrFi,3,99
meka,PrFi,3,99
joly,PrFi,3,99
WiBuPr,Lev,1,99
FraCi,Lev,1,99
RePr,Lev,1,99
SrFi,Lev,1,99
CeNaDuCiEtDeLiAn,Lev,2,1
FiPaRe,Lev,2,1
edwe,Lev,1,99
algi,Lev,1,99
edwe,algi,3,99
algi,edwe,3,99
CeNaDuCiEtDeLiAn,WiBuPr,2,2
CeNaDuCiEtDeLiAn,FraCi,2,1
CeNaDuCiEtDeLiAn,RePr,2,1
CeNaDuCiEtDeLiAn,SrFi,2,1
FiPaRe,WiBuPr,2,1
FiPaRe,FraCi,2,1
FiPaRe,RePr,2,1
FiPaRe,SrFi,2,1
WiBuPr,edwe,3,99
FraCi,edwe,3,99
RePr,edwe,3,99
SrFi,edwe,3,99
WiBuPr,algi,3,99
FraCi,algi,3,99
RePr,algi,3,99
SrFi,algi,3,99
algi,WiBuPr,3,99
algi,FraCi,3,99
algi,RePr,3,99
algi,SrFi,3,99
edwe,WiBuPr,3,99
edwe,FraCi,3,99
edwe,RePr,3,99
edwe,SrFi,3,99
SePi,Nom,1,99
CoCoPr,Nom,1,99
HePr,Nom,1,99
HiFi,Nom,1,99
AlMoPi,Nom,2,1
daja,Nom,1,99
emfo,Nom,1,99
chzh,Nom,1,99
tash,Nom,1,99
pesp,Nom,1,99
frmc,Nom,1,99
geli,Nom,1,99
moas,Nom,1,99
moas,daja,3,99
moas,emfo,3,99
moas,chzh,3,99
moas,tash,3,99
moas,pesp,3,99
moas,frmc,3,99
moas,geli,3,99
geli,moas,3,99
geli,daja,3,99
geli,emfo,3,99
geli,chzh,3,99
geli,tash,3,99
geli,pesp,3,99
geli,frmc,3,99
frmc,geli,3,99
frmc,moas,3,99
frmc,daja,3,99
frmc,emfo,3,99
frmc,chzh,3,99
frmc,tash,3,99
frmc,pesp,3,99
pesp,frmc,3,99
pesp,daja,3,99
pesp,emfo,3,99
pesp,chzh,3,99
pesp,tash,3,99
pesp,geli,3,99
pesp,moas,3,99
tash,daja,3,99
tash,emfo,3,99
tash,chzh,3,99
tash,pesp,3,99
tash,frmc,3,99
tash,geli,3,99
tash,moas,3,99
chzh,daja,3,99
chzh,emfo,3,99
chzh,pesp,3,99
chzh,frmc,3,99
chzh,geli,3,99
chzh,moas,3,99
chzh,tash,3,99
emfo,chzh,3,99
emfo,daja,3,99
emfo,pesp,3,99
emfo,frmc,3,99
emfo,geli,3,99
emfo,moas,3,99
emfo,tash,3,99
daja,emfo,3,99
daja,chzh,3,99
daja,tash,3,99
daja,pesp,3,99
daja,frmc,3,99
daja,geli,3,99
daja,moas,3,99
AlMoPi,SePi,2,1
AlMoPi,CoCoPr,2,1
AlMoPi,HePr,2,1
AlMoPi,HiFi,2,1
SePi,daja,3,99
SePi,emfo,3,99
SePi,chzh,3,99
SePi,tash,3,99
SePi,pesp,3,99
SePi,frmc,3,99
SePi,geli,3,99
SePi,moas,3,99
CoCoPr,daja,3,99
CoCoPr,emfo,3,99
CoCoPr,chzh,3,99
CoCoPr,tash,3,99
CoCoPr,pesp,3,99
CoCoPr,frmc,3,99
CoCoPr,geli,3,99
CoCoPr,moas,3,99
HePr,daja,3,99
HePr,emfo,3,99
HePr,chzh,3,99
HePr,tash,3,99
HePr,pesp,3,99
HePr,frmc,3,99
HePr,geli,3,99
HePr,moas,3,99
HiFi,daja,3,99
HiFi,emfo,3,99
HiFi,chzh,3,99
HiFi,tash,3,99
HiFi,pesp,3,99
HiFi,frmc,3,99
HiFi,geli,3,99
HiFi,moas,3,99
daja,SePi,3,99
daja,CoCoPr,3,99
daja,HePr,3,99
daja,HiFi,3,99
emfo,SePi,3,99
emfo,CoCoPr,3,99
emfo,HePr,3,99
emfo,HiFi,3,99
chzh,SePi,3,99
chzh,CoCoPr,3,99
chzh,HePr,3,99
chzh,HiFi,3,99
tash,SePi,3,99
tash,CoCoPr,3,99
tash,HePr,3,99
tash,HiFi,3,99
pesp,SePi,3,99
pesp,CoCoPr,3,99
pesp,HePr,3,99
pesp,HiFi,3,99
frmc,SePi,3,99
frmc,CoCoPr,3,99
frmc,HePr,3,99
frmc,HiFi,3,99
geli,SePi,3,99
geli,CoCoPr,3,99
geli,HePr,3,99
geli,HiFi,3,99
moas,SePi,3,99
moas,CoCoPr,3,99
moas,HePr,3,99
moas,HiFi,3,99
JoEf,Jok,1,99
BrSt,Jok,1,99
DcEn,Jok,1,99
ViRoPi,Jok,1,99
WaBrPi,Jok,1,99
emko,Jok,1,99
brco,Jok,1,99
dawe,Jok,1,99
toph,Jok,1,99
toph,emko,3,99
toph,brco,3,99
toph,dawe,3,99
dawe,emko,3,99
dawe,brco,3,99
dawe,toph,3,99
brco,emko,3,99
brco,dawe,3,99
brco,toph,3,99
emko,toph,3,99
emko,dawe,3,99
emko,brco,3,99
JoEf,emko,3,99
JoEf,brco,3,99
JoEf,dawe,3,99
JoEf,toph,3,99
BrSt,emko,3,99
BrSt,brco,3,99
BrSt,dawe,3,99
BrSt,toph,3,99
DcEn,emko,3,99
DcEn,brco,3,99
DcEn,dawe,3,99
DcEn,toph,3,99
ViRoPi,emko,3,99
ViRoPi,brco,3,99
ViRoPi,dawe,3,99
ViRoPi,toph,3,99
WaBrPi,emko,3,99
WaBrPi,brco,3,99
WaBrPi,dawe,3,99
WaBrPi,toph,3,99
toph,JoEf,3,99
toph,BrSt,3,99
toph,DcEn,3,99
toph,ViRoPi,3,99
toph,WaBrPi,3,99
dawe,JoEf,3,99
dawe,BrSt,3,99
dawe,DcEn,3,99
dawe,ViRoPi,3,99
dawe,WaBrPi,3,99
brco,JoEf,3,99
brco,BrSt,3,99
brco,DcEn,3,99
brco,ViRoPi,3,99
brco,WaBrPi,3,99
emko,JoEf,3,99
emko,BrSt,3,99
emko,DcEn,3,99
emko,ViRoPi,3,99
emko,WaBrPi,3,99
FiPr,TheF,1,99
ElPi,TheF,1,99
Ar,TheF,1,99
ScFi,TheF,1,99
WaEn,TheF,1,99
BrFiIn,TheF,2,1
IrFiBo,TheF,2,1
edgu,TheF,1,99
yola,TheF,1,99
cede,TheF,1,99
lema,TheF,1,99
jese,TheF,1,99
edgu,yola,3,99
edgu,cede,3,99
edgu,lema,3,99
edgu,jese,3,99
yola,edgu,3,99
cede,edgu,3,99
lema,edgu,3,99
jese,edgu,3,99
yola,cede,3,99
yola,lema,3,99
yola,jese,3,99
cede,yola,3,99
lema,yola,3,99
jese,yola,3,99
cede,lema,3,99
cede,jese,3,99
lema,cede,3,99
jese,cede,3,99
lema,jese,3,99
jese,lema,3,99
BrFiIn,FiPr,2,1
BrFiIn,ElPi,2,1
BrFiIn,Ar,2,1
BrFiIn,ScFi,2,1
BrFiIn,WaEn,2,1
IrFiBo,FiPr,2,1
IrFiBo,ElPi,2,1
IrFiBo,Ar,2,1
IrFiBo,ScFi,2,1
IrFiBo,WaEn,2,1
edgu,FiPr,3,99
edgu,ElPi,3,99
edgu,Ar,3,99
edgu,ScFi,3,99
edgu,WaEn,3,99
FiPr,edgu,3,99
ElPi,edgu,3,99
Ar,edgu,3,99
ScFi,edgu,3,99
WaEn,edgu,3,99
yola,FiPr,3,99
yola,ElPi,3,99
yola,Ar,3,99
yola,ScFi,3,99
yola,WaEn,3,99
FiPr,yola,3,99
ElPi,yola,3,99
Ar,yola,3,99
ScFi,yola,3,99
WaEn,yola,3,99
cede,FiPr,3,99
cede,ElPi,3,99
cede,Ar,3,99
cede,ScFi,3,99
cede,WaEn,3,99
FiPr,cede,3,99
ElPi,cede,3,99
Ar,cede,3,99
ScFi,cede,3,99
WaEn,cede,3,99
lema,FiPr,3,99
lema,ElPi,3,99
lema,Ar,3,99
lema,ScFi,3,99
lema,WaEn,3,99
FiPr,lema,3,99
ElPi,lema,3,99
Ar,lema,3,99
ScFi,lema,3,99
WaEn,lema,3,99
jese,FiPr,3,99
jese,ElPi,3,99
jese,Ar,3,99
jese,ScFi,3,99
jese,WaEn,3,99
FiPr,jese,3,99
ElPi,jese,3,99
Ar,jese,3,99
ScFi,jese,3,99
WaEn,jese,3,99
AkFiPr,Hua,1,99
MmEn,Hua,1,99
FiDeFoMa,Hua,1,99
VoFi,Hua,1,99
13LiPi,Hua,1,99
SiFiCo,Hua,2,1
frbo,Hua,1,99
SiFiCo,AkFiPr,2,1
SiFiCo,MmEn,2,1
SiFiCo,FiDeFoMa,2,1
SiFiCo,VoFi,2,1
SiFiCo,13LiPi,2,1
AkFiPr,frbo,3,99
MmEn,frbo,3,99
FiDeFoMa,frbo,3,99
VoFi,frbo,3,99
13LiPi,frbo,3,99
frbo,AkFiPr,3,99
frbo,MmEn,3,99
frbo,FiDeFoMa,3,99
frbo,VoFi,3,99
frbo,13LiPi,3,99
AlWaPi,Fan,1,99
IdAu,Fan,1,99
WiPr,Fan,1,99
Pr,Fan,2,1
FoCaPoLaCo,Fan,2,1
CeNaDuCiEtDeLiAn,Fan,2,1
piba,Fan,1,99
waya,Fan,1,99
koli,Fan,1,99
piba,koli,3,99
waya,koli,3,99
piba,waya,3,99
koli,waya,3,99
waya,piba,3,99
koli,piba,3,99
Pr,AlWaPi,2,1
FoCaPoLaCo,AlWaPi,2,1
CeNaDuCiEtDeLiAn,AlWaPi,2,1
Pr,IdAu,2,1
FoCaPoLaCo,IdAu,2,1
CeNaDuCiEtDeLiAn,IdAu,2,1
Pr,WiPr,2,1
FoCaPoLaCo,WiPr,2,1
CeNaDuCiEtDeLiAn,WiPr,2,1
AlWaPi,piba,3,99
IdAu,piba,3,99
WiPr,piba,3,99
AlWaPi,waya,3,99
IdAu,waya,3,99
WiPr,waya,3,99
AlWaPi,koli,3,99
IdAu,koli,3,99
WiPr,koli,3,99
piba,AlWaPi,3,99
piba,IdAu,3,99
piba,WiPr,3,99
waya,AlWaPi,3,99
waya,IdAu,3,99
waya,WiPr,3,99
koli,AlWaPi,3,99
koli,IdAu,3,99
koli,WiPr,3,99
KlFi,Bez,1,99
AlFi,Bez,1,99
FiFa,Bez,1,99
SnFi,Bez,1,99
DeDaFi,Bez,2,1
rova,Bez,1,99
DeDaFi,KlFi,2,1
DeDaFi,AlFi,2,1
DeDaFi,FiFa,2,1
DeDaFi,SnFi,2,1
KlFi,rova,3,99
AlFi,rova,3,99
FiFa,rova,3,99
SnFi,rova,3,99
rova,KlFi,3,99
rova,AlFi,3,99
rova,FiFa,3,99
rova,SnFi,3,99
OpFil,Zim,1,99
MkPr,Zim,1,99
ApPi,Zim,1,99
SiFi,Zim,1,99
ArFrCi,Zim,1,99
Eu,Zim,2,1
PoFi,Zim,2,1
tase,Zim,1,99
ewpu,Zim,1,99
mabe,Zim,1,99
pidz,Zim,1,99
tase,ewpu,3,99
tase,mabe,3,99
tase,pidz,3,99
ewpu,tase,3,99
mabe,tase,3,99
pidz,tase,3,99
ewpu,mabe,3,99
ewpu,pidz,3,99
mabe,ewpu,3,99
pidz,ewpu,3,99
mabe,pidz,3,99
pidz,mabe,3,99
Eu,OpFil,2,2
Eu,MkPr,2,1
Eu,ApPi,2,1
Eu,SiFi,2,1
Eu,ArFrCi,2,4
PoFi,OpFil,2,2
PoFi,MkPr,2,1
PoFi,ApPi,2,1
PoFi,SiFi,2,1
PoFi,ArFrCi,2,1
tase,OpFil,3,99
ewpu,OpFil,3,99
mabe,OpFil,3,99
pidz,OpFil,3,99
OpFil,tase,3,99
OpFil,ewpu,3,99
OpFil,mabe,3,99
OpFil,pidz,3,99
MkPr,tase,3,99
MkPr,ewpu,3,99
MkPr,mabe,3,99
MkPr,pidz,3,99
tase,MkPr,3,99
ewpu,MkPr,3,99
mabe,MkPr,3,99
pidz,MkPr,3,99
ApPi,tase,3,99
ApPi,ewpu,3,99
ApPi,mabe,3,99
ApPi,pidz,3,99
tase,ApPi,3,99
ewpu,ApPi,3,99
mabe,ApPi,3,99
pidz,ApPi,3,99
SiFi,tase,3,99
SiFi,ewpu,3,99
SiFi,mabe,3,99
SiFi,pidz,3,99
tase,SiFi,3,99
ewpu,SiFi,3,99
mabe,SiFi,3,99
pidz,SiFi,3,99
ArFrCi,tase,3,99
ArFrCi,ewpu,3,99
ArFrCi,mabe,3,99
ArFrCi,pidz,3,99
tase,ArFrCi,3,99
ewpu,ArFrCi,3,99
mabe,ArFrCi,3,99
pidz,ArFrCi,3,99
PlPr,TheS,1,99
EsFiPr,TheS,1,99
ArFrCi,TheS,1,99
CoOf,TheS,1,99
FiIVä,TheS,1,99
ImEnCo,TheS,1,99
SoPaDePr,TheS,1,99
SvTeAb,TheS,1,99
Fi,TheS,2,1
MeBe,TheS,2,1
CrEuMe,TheS,2,1
sana,TheS,1,99
erhe,TheS,1,99
phbo,TheS,1,99
olpe,TheS,1,99
kaad,TheS,1,99
iswi,TheS,1,99
sana,erhe,3,99
sana,phbo,3,99
sana,olpe,3,99
sana,kaad,3,99
sana,iswi,3,99
erhe,sana,3,99
phbo,sana,3,99
olpe,sana,3,99
kaad,sana,3,99
iswi,sana,3,99
erhe,phbo,3,99
erhe,olpe,3,99
erhe,kaad,3,99
erhe,iswi,3,99
phbo,erhe,3,99
olpe,erhe,3,99
kaad,erhe,3,99
iswi,erhe,3,99
phbo,olpe,3,99
phbo,kaad,3,99
phbo,iswi,3,99
olpe,phbo,3,99
kaad,phbo,3,99
iswi,phbo,3,99
olpe,kaad,3,99
olpe,iswi,3,99
kaad,iswi,3,99
kaad,olpe,3,99
iswi,kaad,3,99
iswi,olpe,3,99
Fi,PlPr,2,2
Fi,EsFiPr,2,2
Fi,ArFrCi,2,4
Fi,CoOf,2,2
Fi,FiIVä,2,1
Fi,ImEnCo,2,1
Fi,SoPaDePr,2,2
Fi,SvTeAb,2,2
MeBe,PlPr,2,2
MeBe,EsFiPr,2,2
MeBe,ArFrCi,2,3
MeBe,CoOf,2,2
MeBe,FiIVä,2,1
MeBe,ImEnCo,2,1
MeBe,SoPaDePr,2,2
MeBe,SvTeAb,2,2
CrEuMe,PlPr,2,2
CrEuMe,EsFiPr,2,2
CrEuMe,ArFrCi,2,4
CrEuMe,CoOf,2,2
CrEuMe,FiIVä,2,1
CrEuMe,ImEnCo,2,1
CrEuMe,SoPaDePr,2,1
CrEuMe,SvTeAb,2,2
sana,PlPr,3,99
sana,EsFiPr,3,99
sana,ArFrCi,3,99
sana,CoOf,3,99
sana,FiIVä,3,99
sana,ImEnCo,3,99
sana,SoPaDePr,3,99
sana,SvTeAb,3,99
PlPr,sana,3,99
EsFiPr,sana,3,99
ArFrCi,sana,3,99
CoOf,sana,3,99
FiIVä,sana,3,99
ImEnCo,sana,3,99
SoPaDePr,sana,3,99
SvTeAb,sana,3,99
erhe,PlPr,3,99
erhe,EsFiPr,3,99
erhe,ArFrCi,3,99
erhe,CoOf,3,99
erhe,FiIVä,3,99
erhe,ImEnCo,3,99
erhe,SoPaDePr,3,99
erhe,SvTeAb,3,99
PlPr,erhe,3,99
EsFiPr,erhe,3,99
ArFrCi,erhe,3,99
CoOf,erhe,3,99
FiIVä,erhe,3,99
ImEnCo,erhe,3,99
SoPaDePr,erhe,3,99
SvTeAb,erhe,3,99
phbo,PlPr,3,99
phbo,EsFiPr,3,99
phbo,ArFrCi,3,99
phbo,CoOf,3,99
phbo,FiIVä,3,99
phbo,ImEnCo,3,99
phbo,SoPaDePr,3,99
phbo,SvTeAb,3,99
PlPr,phbo,3,99
EsFiPr,phbo,3,99
ArFrCi,phbo,3,99
CoOf,phbo,3,99
FiIVä,phbo,3,99
ImEnCo,phbo,3,99
SoPaDePr,phbo,3,99
SvTeAb,phbo,3,99
kaad,PlPr,3,99
kaad,EsFiPr,3,99
kaad,ArFrCi,3,99
kaad,CoOf,3,99
kaad,FiIVä,3,99
kaad,ImEnCo,3,99
kaad,SoPaDePr,3,99
kaad,SvTeAb,3,99
PlPr,kaad,3,99
EsFiPr,kaad,3,99
ArFrCi,kaad,3,99
CoOf,kaad,3,99
FiIVä,kaad,3,99
ImEnCo,kaad,3,99
SoPaDePr,kaad,3,99
SvTeAb,kaad,3,99
olpe,PlPr,3,99
olpe,EsFiPr,3,99
olpe,ArFrCi,3,99
olpe,CoOf,3,99
olpe,FiIVä,3,99
olpe,ImEnCo,3,99
olpe,SoPaDePr,3,99
olpe,SvTeAb,3,99
PlPr,olpe,3,99
EsFiPr,olpe,3,99
ArFrCi,olpe,3,99
CoOf,olpe,3,99
FiIVä,olpe,3,99
ImEnCo,olpe,3,99
SoPaDePr,olpe,3,99
SvTeAb,olpe,3,99
iswi,PlPr,3,99
iswi,EsFiPr,3,99
iswi,ArFrCi,3,99
iswi,CoOf,3,99
iswi,FiIVä,3,99
iswi,ImEnCo,3,99
iswi,SoPaDePr,3,99
iswi,SvTeAb,3,99
PlPr,iswi,3,99
EsFiPr,iswi,3,99
ArFrCi,iswi,3,99
CoOf,iswi,3,99
FiIVä,iswi,3,99
ImEnCo,iswi,3,99
SoPaDePr,iswi,3,99
SvTeAb,iswi,3,99
AoPr,Man,1,99
FuTeNe,Man,1,99
GaCo,Man,1,99
ToLoBo,Man,2,1
meba,Man,1,99
kohi,Man,1,99
kaoma,Man,1,99
shok,Man,1,99
hita,Man,1,99
hirta,Man,1,99
akyo,Man,1,99
meba,kohi,3,99
meba,kaoma,3,99
meba,shok,3,99
meba,hita,3,99
meba,hirta,3,99
meba,akyo,3,99
kohi,meba,3,99
kohi,kaoma,3,99
kohi,shok,3,99
kohi,hita,3,99
kohi,hirta,3,99
kohi,akyo,3,99
kaoma,meba,3,99
kaoma,kohi,3,99
kaoma,shok,3,99
kaoma,hita,3,99
kaoma,hirta,3,99
kaoma,akyo,3,99
shok,meba,3,99
shok,kohi,3,99
shok,kaoma,3,99
shok,hita,3,99
shok,hirta,3,99
shok,akyo,3,99
hita,meba,3,99
hita,kohi,3,99
hita,kaoma,3,99
hita,shok,3,99
hita,hirta,3,99
hita,akyo,3,99
hirta,meba,3,99
hirta,kohi,3,99
hirta,kaoma,3,99
hirta,shok,3,99
hirta,hita,3,99
hirta,akyo,3,99
akyo,meba,3,99
akyo,kohi,3,99
akyo,kaoma,3,99
akyo,shok,3,99
akyo,hita,3,99
akyo,hirta,3,99
ToLoBo,AoPr,2,1
ToLoBo,FuTeNe,2,1
ToLoBo,GaCo,2,1
AoPr,meba,3,99
AoPr,kohi,3,99
AoPr,kaoma,3,99
AoPr,shok,3,99
AoPr,hita,3,99
AoPr,hirta,3,99
AoPr,akyo,3,99
FuTeNe,meba,3,99
FuTeNe,kohi,3,99
FuTeNe,kaoma,3,99
FuTeNe,shok,3,99
FuTeNe,hita,3,99
FuTeNe,hirta,3,99
FuTeNe,akyo,3,99
GaCo,meba,3,99
GaCo,kohi,3,99
GaCo,kaoma,3,99
GaCo,shok,3,99
GaCo,hita,3,99
GaCo,hirta,3,99
GaCo,akyo,3,99
meba,AoPr,3,99
meba,FuTeNe,3,99
meba,GaCo,3,99
kohi,AoPr,3,99
kohi,FuTeNe,3,99
kohi,GaCo,3,99
kaoma,AoPr,3,99
kaoma,FuTeNe,3,99
kaoma,GaCo,3,99
shok,AoPr,3,99
shok,FuTeNe,3,99
shok,GaCo,3,99
hita,AoPr,3,99
hita,FuTeNe,3,99
hita,GaCo,3,99
hirta,AoPr,3,99
hirta,FuTeNe,3,99
hirta,GaCo,3,99
akyo,AoPr,3,99
akyo,FuTeNe,3,99
akyo,GaCo,3,99
Co99Fi,Ton,1,99
KoFi,Ton,1,99
Hi,Ton,1,99
MiLiFi,Ton,1,99
BuFiMe,Ton,2,1
DeFi,Ton,2,1
Fi,Ton,2,1
FiMeNr,Ton,2,1
FiBa,Ton,2,1
MeBe,Ton,2,1
MoFiHaSc,Ton,2,1
ÖsFi,Ton,2,1
GeFi,Ton,2,1
Eu,Ton,2,1
maad,Ton,1,99
jodo,Ton,1,99
jaja,Ton,1,99
ansv,Ton,1,99
brwa,Ton,1,99
iota,Ton,1,99
maad,jodo,3,99
maad,jaja,3,99
maad,ansv,3,99
maad,brwa,3,99
maad,iota,3,99
jaja,maad,3,99
ansv,maad,3,99
brwa,maad,3,99
iota,maad,3,99
jodo,maad,3,99
jodo,jaja,3,99
jodo,ansv,3,99
jodo,brwa,3,99
jodo,iota,3,99
jaja,jodo,3,99
ansv,jodo,3,99
brwa,jodo,3,99
iota,jodo,3,99
jaja,ansv,3,99
jaja,brwa,3,99
jaja,iota,3,99
ansv,jaja,3,99
brwa,jaja,3,99
iota,jaja,3,99
ansv,brwa,3,99
ansv,iota,3,99
brwa,ansv,3,99
iota,ansv,3,99
brwa,iota,3,99
iota,brwa,3,99
BuFiMe,Co99Fi,2,1
BuFiMe,KoFi,2,1
BuFiMe,Hi,2,1
BuFiMe,MiLiFi,2,1
DeFi,Co99Fi,2,1
DeFi,KoFi,2,1
DeFi,Hi,2,1
DeFi,MiLiFi,2,1
Fi,Co99Fi,2,2
Fi,KoFi,2,2
Fi,Hi,2,1
Fi,MiLiFi,2,1
FiMeNr,Co99Fi,2,1
FiMeNr,KoFi,2,1
FiMeNr,Hi,2,1
FiMeNr,MiLiFi,2,1
FiBa,Co99Fi,2,1
FiBa,KoFi,2,1
FiBa,Hi,2,1
FiBa,MiLiFi,2,1
MeBe,Co99Fi,2,2
MeBe,KoFi,2,1
MeBe,Hi,2,1
MeBe,MiLiFi,2,1
MoFiHaSc,Co99Fi,2,1
MoFiHaSc,KoFi,2,1
MoFiHaSc,Hi,2,1
MoFiHaSc,MiLiFi,2,1
ÖsFi,Co99Fi,2,1
ÖsFi,KoFi,2,1
ÖsFi,Hi,2,1
ÖsFi,MiLiFi,2,1
GeFi,Co99Fi,2,1
GeFi,KoFi,2,1
GeFi,Hi,2,1
GeFi,MiLiFi,2,1
Eu,Co99Fi,2,1
Eu,KoFi,2,1
Eu,Hi,2,1
Eu,MiLiFi,2,1
Co99Fi,maad,3,99
Co99Fi,jodo,3,99
Co99Fi,jaja,3,99
Co99Fi,ansv,3,99
Co99Fi,brwa,3,99
Co99Fi,iota,3,99
KoFi,maad,3,99
KoFi,jodo,3,99
KoFi,jaja,3,99
KoFi,ansv,3,99
KoFi,brwa,3,99
KoFi,iota,3,99
Hi,maad,3,99
Hi,jodo,3,99
Hi,jaja,3,99
Hi,ansv,3,99
Hi,brwa,3,99
Hi,iota,3,99
MiLiFi,maad,3,99
MiLiFi,jodo,3,99
MiLiFi,jaja,3,99
MiLiFi,ansv,3,99
MiLiFi,brwa,3,99
MiLiFi,iota,3,99
maad,Co99Fi,3,99
jodo,Co99Fi,3,99
jaja,Co99Fi,3,99
ansv,Co99Fi,3,99
brwa,Co99Fi,3,99
iota,Co99Fi,3,99
maad,KoFi,3,99
jodo,KoFi,3,99
jaja,KoFi,3,99
ansv,KoFi,3,99
brwa,KoFi,3,99
iota,KoFi,3,99
maad,Hi,3,99
jodo,Hi,3,99
jaja,Hi,3,99
ansv,Hi,3,99
brwa,Hi,3,99
iota,Hi,3,99
maad,MiLiFi,3,99
jodo,MiLiFi,3,99
jaja,MiLiFi,3,99
ansv,MiLiFi,3,99
brwa,MiLiFi,3,99
iota,MiLiFi,3,99
JeFi,Jig,1,99
CeNaDuCiEtDeLiAn,Jig,2,1
kiky,Jig,1,99
CeNaDuCiEtDeLiAn,JeFi,2,1
