from,to
gg,wb
gg,hf
gg,mp
gg,lc
gg,ma
gg,nb
wb,gg
hf,gg
mp,gg
lc,gg
ma,gg
nb,gg
bar,gg
bar,wb
bar,hf
bar,lc
bar,nb
bar,ma
bar,mp
wb,hf
wb,lc
wb,nb
wb,ma
wb,mp
hf,wb
hf,lc
hf,nb
hf,ma
hf,mp
lc,wb
lc,hf
lc,nb
lc,ma
lc,mp
nb,wb
nb,hf
nb,lc
nb,ma
nb,mp
ma,wb
ma,hf
ma,lc
ma,mp
ma,nb
mp,wb
mp,hf
mp,lc
mp,nb
mp,ma
ah,ie
ah,up
mj,ie
mj,up
pl,ie
pl,up
ie,ah
ie,mj
ie,pl
up,ah
up,mj
up,pl
thes,ah
thes,mj
thes,pl
thes,ie
thes,up
up,ie
ie,up
ah,mj
ah,pl
mj,ah
mj,pl
pl,ah
pl,mj
jc,le
jc,20thc
jc,te
le,jc
20thc,jc
te,jc
ava,jc
ava,le
ava,20thc
ava,te
le,20thc
le,te
20thc,le
20thc,te
te,le
te,20thc
kb,ie
kb,up
ie,kb
up,kb
ba,ie
ba,up
ie,ba
up,ba
jdv,ie
jdv,up
ie,jdv
up,jdv
ther,kb
ther,ba
ther,jdv
kb,ba
kb,jdv
ba,kb
ba,jdv
jdv,kb
jdv,ba
ther,ie
ther,up
ie,up
up,ie
fro,jl
fro,cb
fro,wdp
jl,wdp
cb,wdp
jl,cb
jl,fro
cb,fro
wdp,fro
wdp,jl
wdp,cb
cb,jl
thel,wdas
wdas,thel
wdas,jf
jf,wdas
jf,thel
thel,jf
boh,20thc
20thc,boh
boh,re
re,boh
boh,qf
qf,boh
gkf,boh
boh,gkf
bs,boh
boh,bs
bs,20thc
20thc,bs
bs,re
re,bs
bs,qf
qf,bs
bs,gkf
gkf,bs
pha,wb
wb,pha
dy,wb
wb,dy
pha,dy
dy,pha
bd,fjg
fjg,cf
fjg,rp
cf,rp
rj,stw
stw,lf
stw,rbp
stw,wdp
lf,rdp
lf,wdp
rbp,wdp
ge,roo
roo,lf
roo,wdp
lf,wdp
as,fid
am,fid
as,am
fid,wdp
fid,wdas
fid,pix
wdp,wdas
wdp,pix
wdas,pix
bd,cf
bd,rp
rj,lf
rj,rbp
rj,wdp
ge,lf
ge,wdp
as,wdp
as,wdas
as,pix
am,wdp
am,wdas
am,pix
20thc,re
re,20thc
20thc,gkf
gkf,20thc
20thc,qf
qf,20thc
re,gkf
gkf,re
re,qf
qf,re
gkf,qf
qf,gkf
lf,sta
lf,ja
ja,sta
bd,fac
bd,cf
fac,cf
wb,bf
wb,ts
wb,hon
bf,ts
bf,hon
hon,ts
der,pj
der,am
der,nlc
der,wf
der,3f
pj,am
pj,nlc
pj,wf
pj,3f
am,nlc
am,wf
am,3f
nlc,wf
nlc,3f
wf,3f
aa,bf
bad,aa
s,aa
sg,aa
bad,bf
s,bf
sg,bf
bad,s
bad,sg
s,sg
cn,ten
cn,sy
cn,do
cn,wap
cn ,wb
ten,sy
ten,do
ten,wap
ten,wb
sy,wb
do,wb
wap,wb
do,wap
sy,wap
