from,to,relation
nupo,vifü,3
nupo,reju,3
nupo,beta,3
nupo,nagu,3
nupo,miwe,3
nupo,lawe,3
reju,muza,3
reju,meta,3
reju,faak,3
reju,vifü,3
reju,nupo,3
reju,beta,3
reju,nagu,3
reju,miwe,3
reju,lawe,3
vifü,muza,3
vifü,meta,3
vifü,faak,3
vifü,reju,3
vifü,nupo,3
vifü,beta,3
vifü,nagu,3
vifü,miwe,3
vifü,lawe,3
faak,muza,3
faak,meta,3
faak,vifü,3
faak,reju,3
faak,nupo,3
faak,beta,3
faak,nagu,3
faak,miwe,3
faak,lawe,3
meta,muza,3
meta,faak,3
meta,vifü,3
meta,reju,3
meta,nupo,3
meta,beta,3
meta,nagu,3
meta,miwe,3
meta,lawe,3
MoFiHaSc,PaFi,2
MoFiHaSc,PhFi,2
MoFiHaSc,EwFi,2
MoFiHaSc,MaFaPr,2
MoFiHaSc,BoIn,2
PaFi,muza,3
PaFi,meta,3
PaFi,faak,3
PaFi,vifü,3
PaFi,reju,3
PaFi,nupo,3
PaFi,beta,3
PaFi,nagu,3
PaFi,miwe,3
PaFi,lawe,3
PhFi,muza,3
PhFi,meta,3
PhFi,faak,3
PhFi,vifü,3
PhFi,reju,3
PhFi,nupo,3
PhFi,beta,3
PhFi,nagu,3
PhFi,miwe,3
PhFi,lawe,3
EwFi,muza,3
EwFi,meta,3
EwFi,faak,3
EwFi,vifü,3
EwFi,reju,3
EwFi,nupo,3
EwFi,beta,3
EwFi,nagu,3
EwFi,miwe,3
EwFi,lawe,3
MaFaPr,muza,3
MaFaPr,meta,3
MaFaPr,faak,3
MaFaPr,vifü,3
MaFaPr,reju,3
MaFaPr,nupo,3
MaFaPr,beta,3
MaFaPr,nagu,3
MaFaPr,miwe,3
MaFaPr,lawe,3
BoIn,muza,3
BoIn,meta,3
BoIn,faak,3
BoIn,vifü,3
BoIn,reju,3
BoIn,nupo,3
BoIn,beta,3
BoIn,nagu,3
BoIn,miwe,3
BoIn,lawe,3
muza,PaFi,3
meta,PaFi,3
faak,PaFi,3
vifü,PaFi,3
reju,PaFi,3
nupo,PaFi,3
beta,PaFi,3
nagu,PaFi,3
miwe,PaFi,3
lawe,PaFi,3
muza,PhFi,3
meta,PhFi,3
faak,PhFi,3
vifü,PhFi,3
reju,PhFi,3
nupo,PhFi,3
beta,PhFi,3
nagu,PhFi,3
miwe,PhFi,3
lawe,PhFi,3
muza,EwFi,3
meta,EwFi,3
faak,EwFi,3
vifü,EwFi,3
reju,EwFi,3
nupo,EwFi,3
beta,EwFi,3
nagu,EwFi,3
miwe,EwFi,3
lawe,EwFi,3
muza,MaFaPr,3
meta,MaFaPr,3
faak,MaFaPr,3
vifü,MaFaPr,3
reju,MaFaPr,3
nupo,MaFaPr,3
beta,MaFaPr,3
nagu,MaFaPr,3
miwe,MaFaPr,3
lawe,MaFaPr,3
muza,BoIn,3
meta,BoIn,3
faak,BoIn,3
vifü,BoIn,3
reju,BoIn,3
nupo,BoIn,3
beta,BoIn,3
nagu,BoIn,3
miwe,BoIn,3
lawe,BoIn,3
OpFi,Vit,1
abch,Vit,1
OpFi,abch,3
abch,OpFi,3
EsFiPr,Tri,1
PlPr,Tri,1
CoOf,Tri,1
SvTeAb,Tri,1
ArFrCi,Tri,1
NoFi,Tri,1
He,Tri,1
BoCaFiSa,Tri,1
SoFi,Tri,1
SoPaDePr,Tri,2
Fi,Tri,2
NoFiTv,EsFiPr,2
NoFiTv,PlPr,2
NoFiTv,CoOf,2
NoFiTv,SvTeAb,2
NoFiTv,ArFrCi,2
NoFiTv,NoFi,2
NoFiTv,He,2
NoFiTv,BoCaFiSa,2
NoFiTv,SoFi,2
NoFiTv,SoPaDePr,2
NoFiTv,Tri,2
GrFiCe,Tri,2
MeBe,Tri,2
MoFiHaSc,Tri,2
FiIVä,Tri,2
DeDaFi,Tri,2
BrFiIn,Tri,2
SvFi,Tri,2
CrEuMe,Tri,2
Eu,Tri,2
phbo,Tri,1
erhe,Tri,1
clkö,Tri,1
phbo,erhe,3
erhe,phbo,3
clkö,erhe,3
clkö,phbo,3
phbo,clkö,3
erhe,clkö,3
Fi,EsFiPr,2
GrFiCe,EsFiPr,2
MeBe,EsFiPr,2
MoFiHaSc,EsFiPr,2
FiIVä,EsFiPr,2
DeDaFi,EsFiPr,2
BrFiIn,EsFiPr,2
SvFi,EsFiPr,2
CrEuMe,EsFiPr,2
Eu,EsFiPr,2
Fi,PlPr,2
GrFiCe,PlPr,2
MeBe,PlPr,2
MoFiHaSc,PlPr,2
FiIVä,PlPr,2
DeDaFi,PlPr,2
BrFiIn,PlPr,2
SvFi,PlPr,2
CrEuMe,PlPr,2
Eu,PlPr,2
Fi,CoOf,2
GrFiCe,CoOf,2
MeBe,CoOf,2
MoFiHaSc,CoOf,2
FiIVä,CoOf,2
DeDaFi,CoOf,2
BrFiIn,CoOf,2
SvFi,CoOf,2
CrEuMe,CoOf,2
Eu,CoOf,2
Fi,SvTeAb,2
GrFiCe,SvTeAb,2
MeBe,SvTeAb,2
MoFiHaSc,SvTeAb,2
FiIVä,SvTeAb,2
DeDaFi,SvTeAb,2
BrFiIn,SvTeAb,2
SvFi,SvTeAb,2
CrEuMe,SvTeAb,2
Eu,SvTeAb,2
Fi,ArFrCi,2
GrFiCe,ArFrCi,2
MeBe,ArFrCi,2
MoFiHaSc,ArFrCi,2
FiIVä,ArFrCi,2
DeDaFi,ArFrCi,2
BrFiIn,ArFrCi,2
SvFi,ArFrCi,2
CrEuMe,ArFrCi,2
Eu,ArFrCi,2
Fi,NoFi,2
GrFiCe,NoFi,2
MeBe,NoFi,2
MoFiHaSc,NoFi,2
FiIVä,NoFi,2
DeDaFi,NoFi,2
BrFiIn,NoFi,2
SvFi,NoFi,2
CrEuMe,NoFi,2
Eu,NoFi,2
Fi,He,2
GrFiCe,He,2
MeBe,He,2
MoFiHaSc,He,2
FiIVä,He,2
DeDaFi,He,2
BrFiIn,He,2
SvFi,He,2
CrEuMe,He,2
Eu,He,2
Fi,BoCaFiSa,2
GrFiCe,BoCaFiSa,2
MeBe,BoCaFiSa,2
MoFiHaSc,BoCaFiSa,2
FiIVä,BoCaFiSa,2
DeDaFi,BoCaFiSa,2
BrFiIn,BoCaFiSa,2
SvFi,BoCaFiSa,2
CrEuMe,BoCaFiSa,2
Eu,BoCaFiSa,2
Fi,SoFi,2
GrFiCe,SoFi,2
MeBe,SoFi,2
MoFiHaSc,SoFi,2
FiIVä,SoFi,2
DeDaFi,SoFi,2
BrFiIn,SoFi,2
SvFi,SoFi,2
CrEuMe,SoFi,2
Eu,SoFi,2
Fi,SoPaDePr,2
GrFiCe,SoPaDePr,2
MeBe,SoPaDePr,2
MoFiHaSc,SoPaDePr,2
FiIVä,SoPaDePr,2
DeDaFi,SoPaDePr,2
BrFiIn,SoPaDePr,2
SvFi,SoPaDePr,2
CrEuMe,SoPaDePr,2
Eu,SoPaDePr,2
EsFiPr,phbo,3
PlPr,phbo,3
CoOf,phbo,3
SvTeAb,phbo,3
ArFrCi,phbo,3
NoFi,phbo,3
He,phbo,3
BoCaFiSa,phbo,3
SoFi,phbo,3
SoPaDePr,phbo,3
phbo,EsFiPr,3
phbo,PlPr,3
phbo,CoOf,3
phbo,SvTeAb,3
phbo,ArFrCi,3
phbo,NoFi,3
phbo,He,3
phbo,BoCaFiSa,3
phbo,SoFi,3
phbo,SoPaDePr,3
EsFiPr,erhe,3
PlPr,erhe,3
