99,"für alle nodes, die keine Filme oder Förderungen sind",,,,,,,,,,,
Allgemeines zum Netzwerk,,,,,,,,,,,,
,es handelt sich um ein gerichtetes two-mode NW,,,,,,,,,,,
,"jede von uns übernimmt einen Preis, jeweils von 2013 bis 2023 (also 11 Filme pro Person)",,,,,,,,,,,
,"die Filme werden nach ""bester Film"" in der jeweiligen Preisverleihung ausgesucht",,,,,,,,,,,
,"in der ersten Phase werden 5 (2019 bis 2023) erhoben, in der zweiten werden 6 erhoben",,,,,,,,,,,
Zuständigkeiten,,,,,,,,,,,,
Tabea,felix,,,,,,,,,,,
Emma,pardo doro,,,,,,,,,,,
Alice,palme dor,,,,,,,,,,,
Aylin,goldener bär,,,,,,,,,,,
Kim,leone doro,Poor Things (2023),All the Beauty and the Bloodshed,L’événement,Nomadsland,Joker,Roma,The Shape of Water,Ang Babaeng Humayo,desde alla,en duva satt pa en gren och funderade pa tillvaron,Sacro GRA
,"Anmerkungen für mich: Bei dem Film ""L’événement"" habe ich die beiden Filmförderungen ""Film Paris Region"" und ""centre national du cinema et de lImage animee (CNC)"" nicht in der Nodelist eingefügt, weil sie bereits vorhanden waren. Das gleiche bei Nomadsland -> Searchlight Pictures als Produktionsfirma. ",,,,,,,,,,,
,Anmerkungen Teil 2: Bei Roma war die Firma PaMe schon drin. Bei The Shape of Water war SePi schon drin. Bei Ang Babaeng Humayo war SiOlPi und Lav Diaz schon drin. Bei En duva satt på en gren och funderade på tillvaron war EsFiPr und CeNaDuCiEtDeLiAn und CoOf und ArFrCi und SvTeAb und Eu und SwFiIn und FiMeNr schon drin. Bei Sacro GRA war CeNaDuCiEtDeLiAn schon drin ,,,,,,,,,,,
