from,to,relation
olpe,oske,3
olpe,takl,3
olpe,jaja,3
olpe,jodo,3
olpe,maad,3
olpe,rebu,3
rebu,sasa,3
rebu,mime,3
rebu,oske,3
rebu,takl,3
rebu,jaja,3
rebu,jodo,3
rebu,maad,3
rebu,olpe,3
AiAuCiDuMo,SbFi,2
AiAuCiDuMo,KoFi,2
AiAuCiDuMo,ArFrCi,2
AiAuCiDuMo,PiFi,2
DeFö,SbFi,2
DeFö,KoFi,2
DeFö,ArFrCi,2
DeFö,PiFi,2
Fi,SbFi,2
Fi,KoFi,2
Fi,ArFrCi,2
Fi,PiFi,2
CeNaDuCiEtDeLiAn,SbFi,2
CeNaDuCiEtDeLiAn,KoFi,2
CeNaDuCiEtDeLiAn,ArFrCi,2
CeNaDuCiEtDeLiAn,PiFi,2
SbFi,sasa,3
SbFi,mime,3
SbFi,oske,3
SbFi,takl,3
SbFi,jaja,3
SbFi,jodo,3
SbFi,maad,3
SbFi,olpe,3
SbFi,rebu,3
sasa,SbFi,3
mime,SbFi,3
oske,SbFi,3
takl,SbFi,3
jaja,SbFi,3
jodo,SbFi,3
maad,SbFi,3
olpe,SbFi,3
rebu,SbFi,3
KoFi,sasa,3
KoFi,mime,3
KoFi,oske,3
KoFi,takl,3
KoFi,jaja,3
KoFi,jodo,3
KoFi,maad,3
KoFi,olpe,3
KoFi,rebu,3
sasa,KoFi,3
mime,KoFi,3
oske,KoFi,3
takl,KoFi,3
jaja,KoFi,3
jodo,KoFi,3
maad,KoFi,3
olpe,KoFi,3
rebu,KoFi,3
ArFrCi,sasa,3
ArFrCi,mime,3
ArFrCi,oske,3
ArFrCi,takl,3
ArFrCi,jaja,3
ArFrCi,jodo,3
ArFrCi,maad,3
ArFrCi,olpe,3
ArFrCi,rebu,3
sasa,ArFrCi,3
mime,ArFrCi,3
oske,ArFrCi,3
takl,ArFrCi,3
jaja,ArFrCi,3
jodo,ArFrCi,3
maad,ArFrCi,3
olpe,ArFrCi,3
rebu,ArFrCi,3
PiFi,sasa,3
PiFi,mime,3
PiFi,oske,3
PiFi,takl,3
PiFi,jaja,3
PiFi,jodo,3
PiFi,maad,3
