id,name,category,sex,palme dor,goldener bär,leone doro,felix,pardo doro,year,nationality,funding,korrigiert
NeFiFu,netherland film funds,4,99,99,99,99,99,99,99,nie,99,
SwFiIn,swedish film institute,4,99,99,99,99,99,99,99,schd,99,
NeFiPrIn,netherland film production incentive,4,99,99,99,99,99,99,99,nie,99,
kadi,kasper dissing,2,99,99,99,99,99,99,99,99,99,
sijo,sisse graum jorgensen,1,99,99,99,99,99,99,99,99,99,
Alc,Alcarras,1,99,99,1,99,2,99,2022,spaita,1,x
maza,maria zamora,2,1,99,99,99,99,99,99,99,99,
stsc,stefan schmitz,2,2,99,99,99,99,99,99,99,99,
tofo,tono folguera,2,2,99,99,99,99,99,99,99,99,
semo,sergi moreno,2,2,99,99,99,99,99,99,99,99,
gipo,giovanni pompili,2,2,99,99,99,99,99,99,99,99,
ElFi,elastica films,3,99,99,99,99,99,99,99,spa,99,
Av,avalon,3,99,99,99,99,99,99,99,spa,99,
KiPr,kino produzioni,3,99,99,99,99,99,99,99,ita,99,
ViFi,vilaut films,3,99,99,99,99,99,99,99,spa,99,
Bab,babardeala cu bucluc sau porno balamuc,1,99,99,1,99,99,99,2021,rumluxkrotsc,1,x
adso,ada solomon,2,1,99,99,99,99,99,99,99,99,
path,paul thiltges,2,2,99,99,99,99,99,99,99,99,
adch,adrien chef,2,2,99,99,99,99,99,99,99,99,
jiko,jiri konecny,2,2,99,99,99,99,99,99,99,99,
anti,ankica juric tilic,2,1,99,99,99,99,99,99,99,99,
En,endorfilm,3,99,99,99,99,99,99,99,tsc,99,
Ki,kinorama,3,99,99,99,99,99,99,99,kro,99,
MiFi,micro film,3,99,99,99,99,99,99,99,rum,99,
PaThDi,paul thiltges distributions,3,99,99,99,99,99,99,99,lux,99,
FiFuLu,film fund luxembourg,4,99,99,99,99,99,99,99,lux,99,
CzFiFu,czech film fund,4,99,99,99,99,99,99,99,tsc,99,
CrAuCe,croatian audiovisual centre,4,99,99,99,99,99,99,99,kro,99,
She,sheytan vojud nadarad,1,99,99,1,99,99,99,2020,deutscira,1,x
mora,mohammad rasoulof,2,2,99,99,99,99,99,99,99,99,
kafa,kaveh farnam,2,2,99,99,99,99,99,99,99,99,
fapa,farzad pak,2,2,99,99,99,99,99,99,99,99,
CoFi,cosmopol film,3,99,99,99,99,99,99,99,deu,99,
EuMeNe,europe media nest,3,99,99,99,99,99,99,99,tsc,99,
FiInIr,filminiran,3,99,99,99,99,99,99,99,ira,99,
Syn,synonymes,1,99,99,1,99,99,99,2019,fraisrdeu,1,x
sasa,said ben said,2,2,99,99,99,99,99,99,99,99,
mime,michel merkt,2,2,99,99,99,99,99,99,99,99,
oske,osnat handelsman keren,2,1,99,99,99,99,99,99,99,99,
takl,talia kleinhendler,2,1,99,99,99,99,99,99,99,99,
jaja,janine jackowski,2,1,99,99,99,99,99,99,99,99,
jodo,jonas dornbach,2,2,99,99,99,99,99,99,99,99,
maad,maren ade,2,1,99,99,99,99,99,99,99,99,
olpe,olivier pere,2,2,99,99,99,99,99,99,99,99,
rebu,remi burah,2,2,99,99,99,99,99,99,99,99,
SbFi,sbs films,3,99,99,99,99,99,99,99,fra,99,
KoFi,komplizen film,3,99,99,99,99,99,99,99,deu,99,
PiFi,pie films,3,99,99,99,99,99,99,99,isr,99,
AiAuCiDuMo,aide aux cinemas du monde,4,99,99,99,99,99,99,99,fra,99,
DeFö,deutsch-französische förderkommission,4,99,99,99,99,99,99,99,deufra,99,
TheF,the favourite,1,99,99,99,99,1,99,2019,irlbriusa,1,x
Ar,arcana,3,99,99,99,99,99,99,99,usa,99,
ScFi,scarlet films,3,99,99,99,99,99,99,99,bri,99,
WaEn,waypoint entertainment,3,99,99,99,99,99,99,99,usa,99,
cede,ceci dempsey,2,1,99,99,99,99,99,99,99,99,
lema,lee magiday,2,2,99,99,99,99,99,99,99,99,
jese,jennifer semler,2,1,99,99,99,99,99,99,99,99,
IrFiBo,irish film board,4,99,99,99,99,99,99,99,irl,99,
Zim,zimna wojna,1,99,2,99,99,1,99,2018,frapolbri,1,
OpFil,opus films,3,99,99,99,99,99,99,99,pol,99,
MkPr,mk productions,3,99,99,99,99,99,99,99,fra,99,
ApPi,apocalypso pictures,3,99,99,99,99,99,99,99,bri,99,
SiFi,silesia film,3,99,99,99,99,99,99,99,pol,99,
tase,tanya seghatchian,2,1,99,99,99,99,99,99,99,99,
ewpu,ewa puszczynska,2,1,99,99,99,99,99,99,99,99,
mabe,magorzata bela,2,1,99,99,99,99,99,99,99,99,
pidz,piotr dzieciol,2,2,99,99,99,99,99,99,99,99,
TheS,the square,1,99,1,99,99,1,99,2017,dänfradeuschdusa,1,x
ImEnCo,imperial entertainment corporation,3,99,99,99,99,99,99,99,usa,99,
sana,sarah nagel,2,1,99,99,99,99,99,99,99,99,
kaad,katja adomeit,2,1,99,99,99,99,99,99,99,99,
iswi,isabell wiegand,2,1,99,99,99,99,99,99,99,99,
Ton,toni erdmann,1,99,2,99,99,1,99,2016,östdeu,1,
Hi,hifilm,3,99,99,99,99,99,99,99,rum,99,
MiLiFi,missing link films,3,99,99,99,99,99,99,99,deu,99,
BuFiMe,bundesregierung für film und medien,4,99,99,99,99,99,99,99,deu,99,
DeFi,deutscher filmförderfonds,4,99,99,99,99,99,99,99,deu,99,
FiMeNr,film- und medienstiftung nrw,4,99,99,99,99,99,99,99,deu,99,
FiBa,filmfernsehfonds bayern,4,99,99,99,99,99,99,99,deu,99,
GeFi,german films,4,99,99,99,99,99,99,99,deu,99,
ansv,antonin svoboda,2,2,99,99,99,99,99,99,99,99,
brwa,bruno wagner,2,2,99,99,99,99,99,99,99,99,
iota,ioana cristina tarchila,2,1,99,99,99,99,99,99,99,99,
You,youth - la giovinezza,1,99,2,99,99,1,99,2015,usaitaschz,1,
InFi,indigo film s.r.l.,3,99,99,99,99,99,99,99,ita,99,
CAg,c-films ag,3,99,99,99,99,99,99,99,schz,99,
MeFil,medusa films,3,99,99,99,99,99,99,99,ita,99,
vias,vivien aslanian,2,1,99,99,99,99,99,99,99,99,
chca,charlotte calori,2,1,99,99,99,99,99,99,99,99,
frci,francesca cima,2,1,99,99,99,99,99,99,99,99,
faco,fabio conversi,2,2,99,99,99,99,99,99,99,99,
nigi,nicola giuliano,2,1,99,99,99,99,99,99,99,99,
elka,elisabeth karlsen,2,1,99,99,99,99,99,99,99,99,
dako,david kosse,2,2,99,99,99,99,99,99,99,99,
rogr,romain la grand,2,2,99,99,99,99,99,99,99,99,
musa,muriel sauzay,2,1,99,99,99,99,99,99,99,99,
jesey,jerome seydoux,2,2,99,99,99,99,99,99,99,99,
anwa,anne walser,2,1,99,99,99,99,99,99,99,99,
stwo,stephen woolley,2,2,99,99,99,99,99,99,99,99,
Ida,Ida,1,99,99,99,99,1,99,2014,dänpol,1,
PhFiIn,phoenix film investments,3,99,99,99,99,99,99,99,dän,99,
MeFiBa,medien- und filmgesellschaft baden-württemberg,4,99,99,99,99,99,99,99,deu,99,
chhu,christian husum,2,2,99,99,99,99,99,99,99,99,
erab,eric abraham,2,2,99,99,99,99,99,99,99,99,
LaG,la grande bellezza,1,99,2,99,99,1,99,2013,fraita,1,
BaFi,babe films,3,99,99,99,99,99,99,99,fra,99,
PaFil,pathe films,3,99,99,99,99,99,99,99,fra,99,
Tou,touch me not,1,99,99,1,99,2,99,2018,rumdeutscbulfra,1,
bioa,bianca oana,2,1,99,99,99,99,99,99,99,99,
phav,philippe avril,2,2,99,99,99,99,99,99,99,99,
adpi,adina pintilie,2,1,99,99,99,99,99,99,99,99,
bedr,benny drechsel,2,2,99,99,99,99,99,99,99,99,
rasi,radovan sibrt,2,2,99,99,99,99,99,99,99,99,
alka,alzbeta karaskova,2,1,99,99,99,99,99,99,99,99,
mabo,martichka bozhilova,2,1,99,99,99,99,99,99,99,99,
MaFil,manekino film,3,99,99,99,99,99,99,99,99,99,
RoPr,rohfilm productions,3,99,99,99,99,99,99,99,deu,99,
Pin,pink,3,99,99,99,99,99,99,99,tsc,99,
Ag,agitprop,3,99,99,99,99,99,99,99,spa,99,
LeFiDeLe,les films de letranger,3,99,99,99,99,99,99,99,fra,99,
4PrFi,4 proof film,3,99,99,99,99,99,99,99,rum,99,
Tes,testrol es lelekrol,1,99,99,1,99,2,99,2017,ung,1,
mome,monika mecs,2,1,99,99,99,99,99,99,99,99,
anmu,andras muhi,2,2,99,99,99,99,99,99,99,99,
erme,erno mesterhazy,2,2,99,99,99,99,99,99,99,99,
In,inforg – m&m film kft,3,99,99,99,99,99,99,99,ung,99,
HuNaFiFo,hungarian national film fund,4,99,99,99,99,99,99,99,ung,99,
Fuo,fuocoammare,1,99,99,1,99,2,99,2016,itafra,1,
giro,gianfranco rosi,2,2,99,99,99,99,99,99,99,99,
dopa,donatella palermo,2,1,99,99,99,99,99,99,99,99,
21Un,21 unofilm,3,99,99,99,99,99,99,99,ita,99,
RaCi,rai cinema,3,99,99,99,99,99,99,99,ita,99,
StEn,stemal entertainment,3,99,99,99,99,99,99,99,ita,99,
InLuCi,instituto luce cinecitta,4,99,99,99,99,99,99,99,ita,99,
Tax,taxi,1,99,99,1,99,99,99,2015,ira,2,
JaPaFiPr,jafar panahi film production,3,99,99,99,99,99,99,99,ira,99,
Bai,bai ri yan huo,1,99,99,1,99,99,99,2014,chi,2,
viqu,vivian qu,2,1,99,99,99,99,99,99,99,99,
yash,yang shen,2,2,99,99,99,99,99,99,99,99,
juwa,juan wan,2,2,99,99,99,99,99,99,99,99,
dazh,dajun zhang,2,99,99,99,99,99,99,99,99,99,
OmMe,omnijoi media,3,99,99,99,99,99,99,99,chi,99,
BoEnCh,boneyard entertainment china,3,99,99,99,99,99,99,99,chi,99,
ChFiGrCo,china film group corporation (cfgc),3,99,99,99,99,99,99,99,chi,99,
MoFiHaSc,moin filmförderung hamburg schleswig-holstein,4,99,99,99,99,99,99,99,deu,99,
NoFiTv,nordisk film tv-fond,4,99,99,99,99,99,99,99,nor,99,
FiPr,film4 productions,3,99,99,99,99,99,99,99,bri,99,
CeNaDuCiEtDeLiAn,centre national du cinema et de lImage animee ,4,99,99,99,99,99,99,99,fra,99,
ElPi,element pictures,3,99,99,99,99,99,99,99,usa,99,
edgu,ed guiney,2,2,99,99,99,99,99,99,99,99,
yola,yorgos lanthimos,2,2,99,99,99,99,99,99,99,99,
FrCi,france 2 cinema,3,99,99,99,99,99,99,99,fra,99,
